stride-length 5
input google-circuit
-------------------------------
--- input-specific specs
-------------------------------
google-circuit-num-rows 6
google-circuit-num-cols 6
google-circuit-num-cycles 12
google-circuit-patterns EFGH
google-circuit-seed 15210
-------------------------------
gates  597
qubits 36
show-circuit? no
sim query-bfs
warmup 0.0000
repeat 1
quantum simulator (query-bfs)
gate 335: non-zeros: 1755146768; slack: 60%; density: 0.02554075
gate 336: non-zeros: 1408503822; slack: 68%; density: 0.02049643
gate 337: non-zeros: 1240971150; slack: 65%; density: 0.01805851
gate 338: non-zeros: 1105304446; slack: 65%; density: 0.01608430
gate 339: non-zeros: 1105304446; slack: 60%; density: 0.01608430
gate 340: non-zeros: 867002598; slack: 69%; density: 0.01261655
gate 341: non-zeros: 651837020; slack: 70%; density: 0.00948548
gate 342: non-zeros: 529286368; slack: 68%; density: 0.00770213
gate 343: non-zeros: 445973220; slack: 67%; density: 0.00648976
gate 344: non-zeros: 335180160; slack: 70%; density: 0.00487751
gate 345: non-zeros: 335180160; slack: 60%; density: 0.00487751
gate 346: non-zeros: 270307544; slack: 68%; density: 0.00393349
gate 347: non-zeros: 203004687; slack: 70%; density: 0.00295411
gate 348: non-zeros: 169353902; slack: 67%; density: 0.00246442
gate 349: non-zeros: 127829562; slack: 70%; density: 0.00186016
gate 350: non-zeros: 127829562; slack: 60%; density: 0.00186016
gate 351: non-zeros: 127814386; slack: 61%; density: 0.00185994
gate 352: non-zeros: 127770578; slack: 61%; density: 0.00185931
gate 353: non-zeros: 127770578; slack: 60%; density: 0.00185931
gate 354: non-zeros: 127675105; slack: 61%; density: 0.00185792
gate 355: non-zeros: 127675105; slack: 61%; density: 0.00185792
gate 356: non-zeros: 196200829; slack: 39%; density: 0.00285510
gate 357: non-zeros: 392401658; slack: 21%; density: 0.00571020
gate 358: non-zeros: 392401658; slack: 60%; density: 0.00571020
gate 359: non-zeros: 660829156; slack: 33%; density: 0.00961633
gate 360: non-zeros: 660055402; slack: 61%; density: 0.00960507
gate 361: non-zeros: 660055402; slack: 60%; density: 0.00960507
gate 362: non-zeros: 658984184; slack: 61%; density: 0.00958948
gate 363: non-zeros: 658984184; slack: 60%; density: 0.00958948
gate 364: non-zeros: 658984184; slack: 60%; density: 0.00958948
gate 365: non-zeros: 783548194; slack: 53%; density: 0.01140213
gate 366: non-zeros: 783548194; slack: 60%; density: 0.01140213
gate 367: non-zeros: 783548194; slack: 60%; density: 0.01140213
gate 368: non-zeros: 783548194; slack: 60%; density: 0.01140213
gate 369: non-zeros: 1258685448; slack: 36%; density: 0.01831628
gate 370: non-zeros: 2517370896; slack: 20%; density: 0.03663257
gate 371: non-zeros: 3764929964; slack: 41%; density: 0.05478694
gate 372: non-zeros: 3764929964; slack: 60%; density: 0.05478694
gate 373: non-zeros: 3764929964; slack: 60%; density: 0.05478694
gate 374: non-zeros: 5033032356; slack: 47%; density: 0.07324026
gate 375: non-zeros: 5033032356; slack: 60%; density: 0.07324026
gate 376: non-zeros: 5025906476; slack: 61%; density: 0.07313656
gate 377: non-zeros: 5025906476; slack: 60%; density: 0.07313656
gate 378: non-zeros: 5025906476; slack: 60%; density: 0.07313656
gate 379: non-zeros: 5025906476; slack: 60%; density: 0.07313656
gate 380: non-zeros: 5025906476; slack: 60%; density: 0.07313656
gate 381: non-zeros: 5025906476; slack: 60%; density: 0.07313656
gate 382: non-zeros: 8051393352; slack: 36%; density: 0.11716319
gate 383: non-zeros: 8056930824; slack: 60%; density: 0.11724377
gate 384: non-zeros: 8046341060; slack: 61%; density: 0.11708967
gate 385: non-zeros: 8063023752; slack: 60%; density: 0.11733244
gate 386: non-zeros: 6049959916; slack: 70%; density: 0.08803850
gate 387: non-zeros: 4365723260; slack: 72%; density: 0.06352963
gate 388: non-zeros: 3276317490; slack: 70%; density: 0.04767669
gate 389: non-zeros: 2750032208; slack: 67%; density: 0.04001824
gate 390: non-zeros: 2564438878; slack: 63%; density: 0.03731750
gate 391: non-zeros: 1923890804; slack: 70%; density: 0.02799630
gate 392: non-zeros: 1439653530; slack: 71%; density: 0.02094972
gate 393: non-zeros: 1260655932; slack: 65%; density: 0.01834496
gate 394: non-zeros: 1050690570; slack: 67%; density: 0.01528956
gate 395: non-zeros: 788132087; slack: 70%; density: 0.01146883
gate 396: non-zeros: 656299973; slack: 67%; density: 0.00955042
gate 397: non-zeros: 492314649; slack: 70%; density: 0.00716412
gate 398: non-zeros: 399403415; slack: 68%; density: 0.00581208
gate 399: non-zeros: 365661480; slack: 64%; density: 0.00532107
